REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
95392,2016-08-09T18:57:00,Bike Lane Bollard,Call Center,1,DPW - Construction Division,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,-79.9430475,40.4400754,EXACT
71333,2016-05-19T08:29:00,Traffic,Website,1,DOMI - Traffic,Greenfield,5,15,42003151700,3,15,4,2-15,-79.9383729809509,40.4269697028916,EXACT
34723,2015-11-19T11:28:00,Weeds/Debris,Report2Gov iOS,1,"Permits, Licenses and Inspections",Bon Air,4,18,42003562400,5,18,3,4-7,-79.998466,40.408394,EXACT
364664,2019-07-25T07:46:00,Litter,Call Center,1,DPW - Street Maintenance,Central Business District,6,2,42003020100,6,2,2,1-3,-79.9993827,40.4446187,EXACT
61318,2016-04-14T21:44:00,Excessive Noise/Disturbances,Website,1,Police - Zones 1-6,Central Business District,6,2,42003020100,6,2,2,1-3,-79.9969231845511,40.4447983373356,APPROXIMATE
14098,2015-07-17T15:06:00,Potholes,Call Center,1,DPW - Street Maintenance,Point Breeze,8,14,42003140600,3,14,4,3-14,-79.908172,40.4514681,EXACT
370722,2019-08-06T12:57:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Polish Hill,7,6,42003060500,6,6,2,2-6,-79.9616579,40.4588001,EXACT
222893,2018-02-21T08:23:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4,19,42003191800,5,19,6,4-25,-80.0114074,40.3885493,EXACT
6588,2015-05-27T15:54:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,-79.924923,40.43109,EXACT
172069,2017-07-21T07:08:00,Rodent control,Website,1,Animal Care & Control,East Allegheny,1,23,42003563200,1,23,1,1-5,-79.9973083212414,40.4573550969555,APPROXIMATE
296491,2018-10-19T09:25:00,Permit Parking (Residential Parking Permit),Call Center,1,Parking Authority,West Oakland,8,4,42003040200,3,4,4,2-14,-79.9619897985185,40.4409332700705,APPROXIMATE
