Date Collected,Date Available,Type,College,CIP,Area of Study,Count
Spring 2014,Fall 2014,Community College,Community College of Allegheny County,15,Engineering Technologies and Engineering-Related Fields,923
Spring 2014,Fall 2014,Community College,Community College of Allegheny County,40,Physical Sciences,131
Spring 2014,Fall 2014,Community College,Community College of Allegheny County,27,Mathematics and Statistics,241
Spring 2014,Fall 2014,Community College,Community College of Allegheny County,26,Biological and Biomedical Sciences,367
Spring 2014,Fall 2014,Community College,Community College of Beaver County,15,Engineering Technologies and Engineering-Related Fields,73
Spring 2014,Fall 2014,Community College,Bucks County Community College,41,Science Technologies/Technicians,588
Spring 2014,Fall 2014,Community College,Bucks County Community College,27,Mathematics and Statistics,83
Spring 2014,Fall 2014,Community College,Bucks County Community College,26,Biological and Biomedical Sciences,13
Spring 2014,Fall 2014,Community College,Bucks County Community College,15,Engineering Technologies and Engineering-Related Fields,422
Spring 2014,Fall 2014,Community College,Butler County Community College,14,Engineering,80
Spring 2014,Fall 2014,Community College,Butler County Community College,40,Physical Sciences,11
Spring 2014,Fall 2014,Community College,Butler County Community College,27,Mathematics and Statistics,11
Spring 2014,Fall 2014,Community College,Butler County Community College,26,Biological and Biomedical Sciences,63
Spring 2014,Fall 2014,Community College,Butler County Community College,15,Engineering Technologies and Engineering-Related Fields,149
Spring 2014,Fall 2014,Community College,Delaware County Community College,14,Engineering,587
Spring 2014,Fall 2014,Community College,Delaware County Community College,41,Science Technologies/Technicians,24
Spring 2014,Fall 2014,Community College,Delaware County Community College,15,Engineering Technologies and Engineering-Related Fields,251
Spring 2014,Fall 2014,Community College,Harrisburg Area Community College,14,Engineering,415
Spring 2014,Fall 2014,Community College,Harrisburg Area Community College,40,Physical Sciences,197
Spring 2014,Fall 2014,Community College,Harrisburg Area Community College,27,Mathematics and Statistics,49
Spring 2014,Fall 2014,Community College,Harrisburg Area Community College,26,Biological and Biomedical Sciences,535
Spring 2014,Fall 2014,Community College,Harrisburg Area Community College,15,Engineering Technologies and Engineering-Related Fields,396
Spring 2014,Fall 2014,Community College,Lehigh Carbon Community College,14,Engineering,86
Spring 2014,Fall 2014,Community College,Lehigh Carbon Community College,41,Science Technologies/Technicians,23
Spring 2014,Fall 2014,Community College,Lehigh Carbon Community College,27,Mathematics and Statistics,24
Spring 2014,Fall 2014,Community College,Lehigh Carbon Community College,26,Biological and Biomedical Sciences,182
Spring 2014,Fall 2014,Community College,Lehigh Carbon Community College,15,Engineering Technologies and Engineering-Related Fields,206
Spring 2014,Fall 2014,Community College,Lehigh Carbon Community College,40,Physical Sciences,41
